"24/03/2026 09:25:49","0","1","11","30.312"
"30/03/2026 11:04:05","0","1","11","65.145"
"21/03/2026 09:34:05","C33333","1","11","33.61"
"31/03/2026 13:04:17","C33333","1","11","28.756"
"03/03/2026 19:13:20","C22222","1","11","20.43"
"06/03/2026 19:38:19","C22222","1","11","16.203"
"10/03/2026 07:11:33","C22222","1","11","20.796"
"14/03/2026 07:29:29","C22222","1","11","15.776"
"17/03/2026 07:10:18","C22222","1","11","16.135"
"23/03/2026 07:02:37","C22222","1","11","17.794"
"24/03/2026 19:39:30","C22222","1","11","16.61"
"28/03/2026 07:55:36","C22222","1","11","23.546"
